Date;Customer ID;Visits;Sales;;;
01/01/15;1;8;0;;;
01/01/15;2;1;0;;;
01/01/15;3;5;0;;;
01/01/15;4;1;0;;;
01/01/15;5;7;0;;;
01/01/15;6;3;0;;;
01/01/15;7;1;0;;;
01/01/15;9;1;0;;;
01/01/15;10;5;0;;;
01/01/15;11;5;0;;;
01/01/15;13;2;0;;;
01/01/15;15;4;0;;;
01/01/15;16;5;0;;;
01/01/15;17;4;0;;;
01/01/15;18;3;0;;;
01/01/15;19;1;0;;;
01/01/15;20;2;0;;;
01/01/15;22;1;0;;;
01/01/15;23;6;0;;;
01/01/15;24;2;0;;;
01/01/15;25;1;0;;;
01/01/15;26;1;0;;;
01/01/15;27;3;1;;;
01/01/15;28;1;0;;;
01/01/15;30;3;1;;;
01/01/15;31;3;0;;;
01/01/15;32;2;0;;;
01/01/15;33;1;0;;;
01/01/15;34;5;0;;;
01/01/15;35;1;0;;;
01/01/15;36;1;0;;;
01/01/15;39;2;0;;;
01/01/15;40;1;0;;;
01/01/15;42;4;0;;;
01/01/15;43;2;0;;;
01/01/15;44;1;0;;;
01/01/15;45;15;0;;;
01/01/15;46;1;0;;;
01/01/15;47;2;0;;;
01/01/15;49;1;0;;;
01/01/15;50;2;0;;;
01/01/15;51;5;0;;;
01/01/15;52;1;1;;;
01/01/15;53;5;1;;;
01/01/15;54;2;0;;;
01/01/15;55;11;0;;;
01/01/15;56;2;0;;;
01/01/15;57;12;0;;;
01/01/15;58;2;0;;;
01/01/15;59;1;0;;;
01/01/15;60;1;0;;;
01/01/15;61;2;0;;;
01/01/15;62;7;0;;;
01/01/15;63;3;0;;;
01/01/15;65;3;0;;;
01/01/15;67;1;0;;;
01/01/15;68;1;0;;;
01/01/15;69;2;0;;;
01/01/15;70;1;0;;;
01/01/15;71;1;0;;;
01/01/15;72;4;0;;;
01/01/15;73;8;0;;;
01/01/15;74;2;0;;;
01/01/15;75;1;0;;;
01/01/15;76;1;0;;;
01/01/15;77;3;0;;;
01/01/15;78;1;0;;;
01/01/15;79;1;0;;;
01/01/15;80;3;0;;;
01/01/15;81;3;0;;;
01/01/15;82;8;6;;;
01/01/15;84;1;0;;;
01/01/15;85;2;0;;;
01/01/15;86;2;0;;;
01/01/15;87;1;0;;;
01/01/15;88;2;0;;;
01/01/15;89;2;0;;;
01/01/15;90;1;0;;;
01/01/15;91;36;2;;;
01/01/15;92;5;0;;;
01/01/15;93;2;0;;;
01/01/15;94;1;0;;;
01/01/15;95;4;0;;;
01/01/15;96;1;0;;;
01/01/15;97;3;0;;;
01/01/15;99;2;0;;;
01/01/15;103;3;0;;;
01/01/15;104;1;0;;;
01/01/15;105;2;0;;;
01/01/15;106;1;0;;;
01/01/15;108;3;1;;;
01/01/15;109;1;0;;;
01/01/15;111;1;0;;;
01/01/15;112;3;0;;;
01/01/15;113;2;0;;;
01/01/15;115;2;0;;;
01/01/15;116;1;0;;;
01/01/15;117;6;0;;;
01/01/15;118;1;0;;;
01/01/15;119;1;0;;;
01/01/15;122;4;0;;;
01/01/15;124;1;0;;;
01/01/15;126;1;0;;;
01/01/15;128;3;0;;;
01/01/15;129;1;0;;;
01/01/15;130;15;1;;;
01/01/15;131;1;0;;;
01/01/15;132;1;0;;;
01/01/15;133;2;0;;;
01/01/15;135;1;0;;;
01/01/15;136;4;0;;;
01/01/15;137;1;0;;;
01/01/15;139;3;0;;;
01/01/15;140;1;0;;;
01/01/15;141;2;0;;;
01/01/15;142;4;0;;;
01/01/15;143;2;0;;;
01/01/15;144;1;0;;;
01/01/15;145;1;0;;;
01/01/15;146;2;0;;;
01/01/15;148;1;0;;;
01/01/15;149;4;0;;;
01/01/15;151;4;0;;;
01/01/15;154;2;0;;;
01/01/15;155;1;0;;;
01/01/15;156;5;0;;;
01/01/15;157;3;1;;;
01/01/15;158;4;0;;;
01/01/15;159;1;0;;;
01/01/15;160;4;0;;;
01/01/15;162;2;1;;;
01/01/15;165;2;0;;;
01/01/15;169;1;0;;;
01/01/15;172;1;0;;;
01/01/15;173;1;0;;;
01/01/15;174;17;2;;;
01/01/15;175;2;0;;;
01/01/15;176;3;0;;;
01/01/15;177;2;0;;;
01/01/15;178;3;0;;;
01/01/15;179;1;0;;;
01/01/15;180;4;1;;;
01/01/15;183;7;0;;;
01/01/15;184;1;0;;;
01/01/15;185;2;0;;;
01/01/15;186;1;0;;;
01/01/15;187;3;0;;;
01/01/15;188;2;0;;;
01/01/15;189;4;0;;;
01/01/15;190;1;0;;;
01/01/15;191;1;0;;;
01/01/15;192;2;0;;;
01/01/15;193;2;0;;;
01/01/15;194;1;0;;;
01/01/15;195;1;0;;;
01/01/15;196;2;0;;;
01/01/15;197;3;0;;;
01/01/15;198;1;0;;;
01/01/15;199;5;0;;;
01/01/15;200;1;0;;;
01/01/15;201;1;0;;;
01/01/15;202;2;0;;;
01/01/15;204;8;0;;;
01/01/15;205;1;0;;;
01/01/15;206;5;0;;;
01/01/15;207;1;0;;;
01/01/15;208;1;0;;;
01/01/15;210;1;0;;;
01/01/15;211;2;0;;;
01/01/15;213;1;0;;;
01/01/15;214;1;0;;;
01/01/15;215;5;0;;;
01/01/15;216;3;0;;;
01/01/15;217;1;0;;;
01/01/15;218;3;0;;;
01/01/15;220;2;0;;;
01/01/15;221;1;0;;;
01/01/15;222;2;0;;;
01/01/15;223;2;0;;;
01/01/15;224;1;0;;;
01/01/15;226;1;0;;;
01/01/15;227;4;0;;;
01/01/15;229;1;0;;;
01/01/15;231;2;0;;;
01/01/15;232;5;0;;;
01/01/15;233;3;0;;;
01/01/15;234;1;0;;;
01/01/15;235;2;0;;;
01/01/15;236;1;0;;;
01/01/15;239;5;0;;;
01/01/15;240;2;0;;;
01/01/15;241;2;0;;;
01/01/15;242;11;0;;;
01/01/15;243;5;0;;;
01/01/15;244;1;0;;;
01/01/15;245;1;0;;;
01/01/15;246;1;0;;;
01/01/15;247;1;0;;;
01/01/15;248;1;0;;;
01/01/15;249;14;0;;;
01/01/15;250;1;0;;;
01/01/15;251;1;0;;;
01/01/15;253;7;1;;;
01/01/15;255;2;1;;;
01/01/15;256;2;0;;;
01/01/15;257;2;0;;;
01/01/15;259;1;0;;;
01/01/15;261;1;0;;;
01/01/15;262;5;0;;;
01/01/15;265;2;0;;;
01/01/15;266;4;0;;;
01/01/15;268;3;0;;;
01/01/15;269;1;0;;;
01/01/15;271;1;0;;;
01/01/15;272;9;1;;;
01/01/15;273;3;0;;;
01/01/15;275;1;0;;;
01/01/15;276;2;0;;;
01/01/15;277;2;0;;;
01/01/15;278;6;0;;;
01/01/15;280;1;0;;;
01/01/15;281;1;0;;;
01/01/15;282;1;0;;;
01/01/15;283;2;0;;;
01/01/15;284;1;1;;;
01/01/15;285;1;0;;;
01/01/15;287;9;0;;;
01/01/15;288;1;0;;;
01/01/15;289;1;0;;;
01/01/15;292;2;0;;;
01/01/15;293;2;0;;;
01/01/15;294;1;0;;;
01/01/15;295;1;0;;;
01/01/15;296;4;0;;;
01/01/15;298;4;0;;;
01/01/15;299;2;1;;;
01/01/15;300;2;0;;;
01/01/15;301;2;0;;;
01/01/15;302;1;0;;;
01/01/15;304;5;0;;;
01/01/15;305;1;0;;;
01/01/15;307;2;0;;;
01/01/15;311;1;0;;;
01/01/15;312;5;0;;;
01/01/15;313;2;1;;;
01/01/15;315;1;0;;;
01/01/15;317;1;0;;;
01/01/15;320;1;0;;;
01/01/15;321;1;0;;;
01/01/15;322;1;0;;;
01/01/15;323;1;0;;;
01/01/15;324;1;0;;;
01/01/15;325;2;0;;;
01/01/15;327;3;2;;;
01/01/15;328;4;0;;;
01/01/15;329;1;0;;;
01/01/15;330;1;0;;;
01/01/15;331;2;0;;;
01/01/15;332;1;0;;;
01/01/15;333;1;0;;;
01/01/15;334;3;0;;;
01/01/15;337;2;1;;;
01/01/15;339;5;0;;;
01/01/15;340;3;0;;;
01/01/15;341;2;0;;;
01/01/15;342;1;0;;;
01/01/15;343;2;0;;;
01/01/15;344;3;1;;;
01/01/15;345;1;0;;;
01/01/15;346;1;0;;;
01/01/15;347;2;0;;;
01/01/15;348;2;0;;;
01/01/15;350;1;0;;;
01/01/15;351;3;0;;;
01/01/15;352;2;2;;;
01/01/15;353;1;0;;;
01/01/15;354;2;0;;;
01/01/15;355;1;0;;;
01/01/15;356;1;0;;;
01/01/15;358;1;0;;;
01/01/15;360;2;0;;;
01/01/15;361;3;0;;;
01/01/15;365;1;1;;;
01/01/15;366;1;0;;;
01/01/15;367;15;1;;;
01/01/15;368;1;0;;;
01/01/15;369;1;0;;;
01/01/15;371;2;0;;;
01/01/15;375;2;0;;;
01/01/15;377;5;0;;;
01/01/15;379;3;0;;;
01/01/15;380;1;0;;;
01/01/15;381;2;0;;;
01/01/15;382;2;0;;;
01/01/15;383;1;0;;;
01/01/15;384;2;0;;;
01/01/15;386;2;0;;;
01/01/15;387;1;0;;;
01/01/15;388;4;0;;;
01/01/15;389;2;0;;;
01/01/15;390;3;0;;;
01/01/15;391;1;0;;;
01/01/15;392;1;0;;;
01/01/15;393;1;0;;;
01/01/15;394;3;0;;;
01/01/15;396;1;0;;;
01/01/15;397;1;0;;;
01/01/15;398;1;0;;;
01/01/15;399;2;0;;;
01/01/15;403;2;0;;;
01/01/15;405;3;0;;;
01/01/15;408;2;0;;;
01/01/15;409;1;0;;;
01/01/15;410;2;0;;;
01/01/15;412;1;0;;;
01/01/15;413;1;0;;;
01/01/15;414;4;0;;;
01/01/15;415;1;0;;;
01/01/15;417;2;0;;;
01/01/15;418;2;0;;;
01/01/15;419;3;0;;;
01/01/15;420;1;0;;;
01/01/15;422;1;0;;;
01/01/15;423;2;0;;;
01/01/15;424;2;0;;;
01/01/15;425;2;0;;;
01/01/15;426;2;0;;;
01/01/15;427;2;0;;;
