Customer ID,Subscription Date,Source
0,2015-01-01,A
1,2015-01-01,B
2,2015-01-01,C
3,2015-01-01,B
4,2015-01-01,B
5,2015-01-01,A
6,2015-01-01,B
7,2015-01-01,B
8,2015-01-01,A
9,2015-01-01,C
10,2015-01-01,A
11,2015-01-01,C
12,2015-01-01,C
13,2015-01-01,C
14,2015-01-01,C
15,2015-01-01,A
16,2015-01-01,A
17,2015-01-01,C
18,2015-01-01,A
19,2015-01-01,B
20,2015-01-01,C
21,2015-01-01,C
22,2015-01-01,C
23,2015-01-01,A
24,2015-01-01,B
25,2015-01-01,A
26,2015-01-01,B
27,2015-01-01,A
28,2015-01-01,A
29,2015-01-01,A
30,2015-01-01,C
31,2015-01-01,B
32,2015-01-01,C
33,2015-01-01,A
34,2015-01-01,A
35,2015-01-01,B
36,2015-01-01,A
37,2015-01-01,B
38,2015-01-01,A
39,2015-01-01,B
40,2015-01-01,B
41,2015-01-01,C
42,2015-01-01,B
43,2015-01-01,B
44,2015-01-01,A
45,2015-01-01,A
46,2015-01-01,A
47,2015-01-01,C
48,2015-01-01,A
49,2015-01-01,A
50,2015-01-01,B
51,2015-01-01,C
52,2015-01-01,A
53,2015-01-01,A
54,2015-01-01,B
55,2015-01-01,C
56,2015-01-01,C
57,2015-01-01,B
58,2015-01-01,B
59,2015-01-01,B
60,2015-01-01,B
61,2015-01-01,B
62,2015-01-01,C
63,2015-01-01,A
64,2015-01-01,C
65,2015-01-01,B
66,2015-01-01,C
67,2015-01-01,C
68,2015-01-01,B
69,2015-01-01,B
70,2015-01-01,B
71,2015-01-01,C
72,2015-01-01,B
73,2015-01-01,A
74,2015-01-01,B
75,2015-01-01,B
76,2015-01-01,B
77,2015-01-01,C
78,2015-01-01,B
79,2015-01-01,B
80,2015-01-01,A
81,2015-01-01,C
82,2015-01-01,A
83,2015-01-01,B
84,2015-01-01,B
85,2015-01-01,B
86,2015-01-01,B
87,2015-01-01,B
88,2015-01-01,C
89,2015-01-01,C
90,2015-01-01,A
91,2015-01-01,B
92,2015-01-01,B
93,2015-01-01,B
94,2015-01-01,A
95,2015-01-01,B
96,2015-01-01,B
97,2015-01-01,A
98,2015-01-01,C
99,2015-01-01,C
100,2015-01-01,C
101,2015-01-01,A
102,2015-01-01,C
103,2015-01-01,B
104,2015-01-01,B
105,2015-01-01,A
106,2015-01-01,C
107,2015-01-01,A
108,2015-01-01,B
109,2015-01-01,A
110,2015-01-01,C
111,2015-01-01,B
112,2015-01-01,B
113,2015-01-01,B
114,2015-01-01,A
115,2015-01-01,B
116,2015-01-01,B
117,2015-01-01,B
118,2015-01-01,B
119,2015-01-01,B
120,2015-01-01,C
121,2015-01-01,A
122,2015-01-01,A
123,2015-01-01,C
124,2015-01-01,A
125,2015-01-01,C
126,2015-01-01,C
127,2015-01-01,A
128,2015-01-01,C
129,2015-01-01,B
130,2015-01-01,C
131,2015-01-01,A
132,2015-01-01,B
133,2015-01-01,B
134,2015-01-01,A
135,2015-01-01,A
136,2015-01-01,B
137,2015-01-01,B
138,2015-01-01,A
139,2015-01-01,A
140,2015-01-01,C
141,2015-01-01,B
142,2015-01-01,B
143,2015-01-01,C
144,2015-01-01,A
145,2015-01-01,B
146,2015-01-01,C
147,2015-01-01,A
148,2015-01-01,B
149,2015-01-01,A
150,2015-01-01,C
151,2015-01-01,A
152,2015-01-01,A
153,2015-01-01,B
154,2015-01-01,B
155,2015-01-01,B
156,2015-01-01,B
157,2015-01-01,A
158,2015-01-01,A
159,2015-01-01,B
160,2015-01-01,C
161,2015-01-01,B
162,2015-01-01,A
163,2015-01-01,A
164,2015-01-01,C
165,2015-01-01,A
166,2015-01-01,A
167,2015-01-01,B
168,2015-01-01,B
169,2015-01-01,B
170,2015-01-01,C
171,2015-01-01,B
172,2015-01-01,B
173,2015-01-01,B
174,2015-01-01,C
175,2015-01-01,B
176,2015-01-01,C
177,2015-01-01,B
178,2015-01-01,B
179,2015-01-01,B
180,2015-01-01,C
181,2015-01-01,A
182,2015-01-01,C
183,2015-01-01,C
184,2015-01-01,B
185,2015-01-01,C
186,2015-01-01,B
187,2015-01-01,B
188,2015-01-01,B
189,2015-01-01,B
190,2015-01-01,A
191,2015-01-01,B
192,2015-01-01,B
193,2015-01-01,C
194,2015-01-01,B
195,2015-01-01,B
196,2015-01-01,B
197,2015-01-01,A
198,2015-01-01,B
199,2015-01-01,A
200,2015-01-01,B
201,2015-01-01,B
202,2015-01-01,A
203,2015-01-01,C
204,2015-01-01,C
205,2015-01-01,B
206,2015-01-01,B
207,2015-01-01,B
208,2015-01-01,B
209,2015-01-01,A
210,2015-01-01,C
211,2015-01-01,B
212,2015-01-01,B
213,2015-01-01,B
214,2015-01-01,B
215,2015-01-01,B
216,2015-01-01,A
217,2015-01-01,B
218,2015-01-01,C
219,2015-01-01,A
220,2015-01-01,B
221,2015-01-01,B
222,2015-01-01,C
223,2015-01-01,B
224,2015-01-01,B
225,2015-01-01,C
226,2015-01-01,B
227,2015-01-01,B
228,2015-01-01,B
229,2015-01-01,B
230,2015-01-01,C
231,2015-01-01,B
232,2015-01-01,C
233,2015-01-01,B
234,2015-01-01,B
235,2015-01-01,C
236,2015-01-01,A
237,2015-01-01,C
238,2015-01-01,A
239,2015-01-01,C
240,2015-01-01,B
241,2015-01-01,C
242,2015-01-01,A
243,2015-01-01,C
244,2015-01-01,B
245,2015-01-01,B
246,2015-01-01,B
247,2015-01-01,B
248,2015-01-01,B
249,2015-01-01,C
250,2015-01-01,B
251,2015-01-01,B
252,2015-01-01,C
253,2015-01-01,A
254,2015-01-01,A
255,2015-01-01,A
256,2015-01-01,B
257,2015-01-01,C
258,2015-01-01,C
259,2015-01-01,A
260,2015-01-01,B
261,2015-01-01,B
262,2015-01-01,B
263,2015-01-01,A
264,2015-01-01,B
265,2015-01-01,B
266,2015-01-01,B
267,2015-01-01,C
268,2015-01-01,B
269,2015-01-01,B
270,2015-01-01,B
271,2015-01-01,B
272,2015-01-01,C
273,2015-01-01,B
274,2015-01-01,C
275,2015-01-01,B
276,2015-01-01,B
277,2015-01-01,B
278,2015-01-01,A
279,2015-01-01,C
280,2015-01-01,B
281,2015-01-01,B
282,2015-01-01,B
283,2015-01-01,B
284,2015-01-01,C
285,2015-01-01,C
286,2015-01-01,C
287,2015-01-01,B
288,2015-01-01,A
289,2015-01-01,A
290,2015-01-01,B
291,2015-01-01,C
292,2015-01-01,A
293,2015-01-01,B
294,2015-01-01,B
295,2015-01-01,C
296,2015-01-01,B
297,2015-01-01,C
298,2015-01-01,B
299,2015-01-01,B
300,2015-01-01,A
301,2015-01-01,B
302,2015-01-01,B
303,2015-01-01,A
304,2015-01-01,C
305,2015-01-01,C
306,2015-01-01,C
307,2015-01-01,B
308,2015-01-01,C
309,2015-01-01,B
310,2015-01-01,B
311,2015-01-01,A
312,2015-01-01,B
313,2015-01-01,B
314,2015-01-01,B
315,2015-01-01,B
